STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-20,,63,55,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-21,,61,51,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-22,,59,48,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-23,,65,50,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-24,,74,57,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-25,,80,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-26,,84,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-27,,65,50,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-28,,58,52,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-29,,74,54,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-30,,67,60,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-31,,80,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-01,,79,70,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-02,,70,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-03,,83,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-04,,73,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-05,,82,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-06,,65,60,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-07,,65,55,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-08,,57,55,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-09,,64,56,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-10,,58,54,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-11,,68,57,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-12,,69,59,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-13,,74,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-14,,76,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-15,,69,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-16,,68,61,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-17,,74,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-18,,78,69,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-19,,82,72,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-20,,78,68,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-21,,82,70,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-22,,63,61,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-23,,72,65,
