1200,31.3
9000,32.26
800,35.25
3000,36.94
1900,36.96
600,37.98
1900,39.01
1300,39.33
4900,39.47
700,41.24
1100,41.71
800,42.21
1400,42.65
7200,42.77
500,42.84
600,43.2
1100,44.46
600,44.56
1400,44.88
1000,45.22
900,45.43
10700,46.56
800,46.97
800,46.97
500,47.34
1800,48.05
1000,48.15
1200,48.51
700,48.93
2100,49.54
700,50.02
900,51.01
1100,51.08
1600,51.61
1800,51.93
1500,53.43
1400,53.58
1700,54.3
1700,54.38
1800,55.79
800,56.14
1600,56.37
2200,56.53
5500,57.12
1900,57.73
1900,57.92
1400,59
2600,60.6
800,60.97
5800,61.19
1900,61.33
2900,61.71
2100,62.2
4000,63.09
3400,63.16
6300,63.48
2900,63.62
1600,63.66
1800,63.81
1700,64
2200,64.19
1000,64.37
2500,64.76
2400,64.78
1800,64.88
4100,65.23
16700,65.71
1200,66.28
5400,66.5
2600,66.65
3500,66.68
8900,67.66
1500,67.81
6000,67.96
6100,68.43
11800,68.73
5800,68.88
3200,68.94
4000,69.23
4600,69.29
10200,69.31
7000,69.35
3300,69.39
9500,69.59
11400,69.6
2300,69.68
4000,70.04
2500,70.05
12300,70.31
4000,70.41
6000,70.54
4800,70.62
7000,70.62
1300,70.79
5100,70.88
7600,71.13
6300,71.14
7400,71.24
600,71.4
9000,71.67
11400,71.8
7600,71.8
6700,71.8
15700,71.84
3300,71.89
4800,72.07
13900,72.17
5000,72.22
6100,72.29
9000,72.3
6300,72.32
4500,72.37
13100,72.58
3700,72.62
1100,72.68
21500,73.14
15000,73.52
16900,73.72
4800,73.81
11100,73.91
5500,74.12
23600,74.3
10600,74.37
4700,74.4
6900,74.4
13300,74.43
6700,74.49
23200,74.75
15700,75.18
17800,75.36
11400,75.38
17500,75.45
11200,75.48
19000,75.51
3900,75.85
12800,75.87
6400,76.07
18000,76.35
9900,76.35
9100,76.43
19000,76.65
8300,76.69
2900,76.8
23400,76.87
31100,77.1
37800,77.14
16800,77.26
29600,77.35
36000,77.41
7900,77.53
55100,77.66
4300,77.88
27400,77.92
28500,77.98
27700,78.16
30000,78.17
29100,78.29
21600,78.32
27600,78.42
17700,78.43
14400,78.72
28600,78.74
20000,78.89
40000,78.93
19800,79.02
37800,79.09
22000,79.23
27600,79.28
26700,79.4
30900,79.8
29800,79.83
28800,79.93
26800,79.97
32700,79.99
40000,80.04
29000,80.13
23700,80.42
28200,80.93
19400,81.87
26800,83.49
