Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
403,23.774083,90.619317,75,Y,36020.56,0.45845,1026.66,34270.8,2.92633,53.8,10.00657,11.41,3435.7,0.54,54.65,143.59,0.202,7.2984,2.7071,0.01
410,23.772933,90.617517,70,Y,,,,,,,,,,,,,,,,
414,23.769567,90.619483,45,N,,,,,,,,,,,,,,,,
415,23.76975,90.620033,75,N,,,,,,,,,,,,,,,,
417,23.769867,90.620017,75,N,,,,,,,,,,,,,,,,
418,23.76885,90.620117,70,N,29048.1,0.70059,42.15,71272,4.599,93.66,14.08288,20.14,4100.63,1.4,184.95,279.43,0.1947,10.8679,0.1872,0.0285
420,23.770833,90.619383,45,Y,,,,,,,,,,,,,,,,
421,23.770083,90.619133,90,Y,,,,,,,,,,,,,,,,
434,23.765,90.617367,40,Y,36656.74,0.09179,8314.27,61320.18,0.51148,94.81,19.94917,27.12,3718.6,2.94,24.97,202.89,0.1008,53.987,23.6832,0.0747
475,23.765467,90.612217,50,Y,,,,,,,,,,,,,,,,
478,23.764133,90.6125,40,Y,28708.36,0.41474,1275.25,64305.47,2.59536,105.37,13.65818,18.76,3257.49,1.73,67.88,234.75,0.1058,11.0739,3.5113,0.0217
481,23.762817,90.611417,88,N,25638.59,0.62636,10528.69,66558.52,4.75818,105.89,33.0739,21.75,3999.45,1.26,305.72,342.12,0.2477,48.8676,30.7183,0.0335
487,23.763133,90.611567,45,Y,,,,,,,,,,,,,,,,
488,23.76315,90.61215,45,Y,27488.16,0.15686,2093.84,31117.32,3.17197,54.42,14.54756,9.92,3410.1,1.89,52.51,125.53,0.1056,26.3745,5.8698,0.017
493,23.7632,90.611033,60,Y,33980.91,0.22825,1221.08,31182.31,0.48159,36.16,9.43265,8.78,2277.45,0.54,64.66,118.83,0.1447,14.1104,3.3198,0.0163
500,23.7634,90.61085,45,Y,32860.82,1.09294,3319.23,52257.01,2.67407,78.05,9.838,14.54,2968.79,1.16,86.59,187.71,0.1172,24.6886,9.112,0.0266
510,23.76275,90.610033,75,Y,21362.49,0.04069,1323.24,10460.76,0.53846,18.83,17.23049,3.77,3526.51,1.14,33.75,43.77,0.2426,9.9889,3.7039,0.0141
512,23.7619,90.610433,60,Y,27763,0.54857,2013.47,34949.79,3.93131,65.67,13.80791,9.86,4035.05,1.47,95.64,145.76,0.0762,14.2557,5.6341,0.0203
521,23.762417,90.609383,45,Y,28628.95,0.3525,1034.05,21655.63,3.61573,74.04,13.57662,14.04,6789.65,1.82,41.4,62.33,0.1621,27.1381,2.6668,0.0464
522,23.76255,90.6125,40,Y,27710.24,0.36666,4386.41,45813.27,1.63252,64.24,13.46817,12.51,2981.15,0.65,44.69,168.25,0.1311,17.4342,12.5975,0.0152
540,23.76075,90.61205,40,Y,,,,,,,,,,,,,,,,
552,23.7939,90.60995,45,Y,,,,,,,,,,,,,,,,
565,23.794917,90.609983,115,Y,,,,,,,,,,,,,,,,
575,23.796617,90.609067,60,Y,32686.31,1.65754,21.57,56817.09,11.49545,163.4,22.35604,24.41,4026.69,0.17,117.82,253.12,0.2325,46.3899,0.1311,0.0773
577,23.796683,90.61075,85,Y,42002.1,0.06258,274.6,47521.02,0.31652,102.5,56.65002,27.25,2637.09,0.36,0.15,376.59,0.4015,49.1618,0.5253,0.0508
584,23.795583,90.6106,95,Y,,,,,,,,,,,,,,,,
591,23.794133,90.611767,120,Y,,,,,,,,,,,,,,,,
646,23.7888,90.598833,120,Y,,,,,,,,,,,,,,,,
662,23.7878,90.597083,120,Y,,,,,,,,,,,,,,,,
687,23.7892,90.600417,120,Y,,,,,,,,,,,,,,,,
701,23.789583,90.601217,120,Y,,,,,,,,,,,,,,,,
70100,23.789583,90.601217,120,Y,,,,,,,,,,,,,,,,
710,23.78965,90.6015,120,Y,45199.04,0.19151,593.83,12895.64,0.05879,18.91,38.64052,4.22,1185.19,0,0.18,119.91,0.3031,20.1713,1.6204,0.1072
719,23.7894,90.601983,105,Y,,,,,,,,,,,,,,,,
720,23.788933,90.602017,105,Y,48345.04,0.16813,655.61,14289.5,0.02231,21.52,31.85107,4.93,1184.74,0.03,0.76,127.07,0.2577,24.5444,1.9735,0.1053
72000,23.788933,90.602017,105,Y,,,,,,,,,,,,,,,,
751,23.788033,90.6012,120,Y,,,,,,,,,,,,,,,,
769,23.798017,90.61065,140,Y,,,,,,,,,,,,,,,,
779,23.79905,90.610883,120,Y,,,,,,,,,,,,,,,,
788,23.798933,90.609417,160,Y,,,,,,,,,,,,,,,,
793,23.800183,90.611,220,Y,46069.37,0.20053,412.51,19983.74,0.01742,26.42,43.21728,9.76,1500.89,0.11,0.58,173.68,,,,
796,23.800967,90.611517,225,Y,42249.3,0.14205,458.23,19939.32,0.00282,41.87,46.0273,8.34,1442.43,0.07,0.39,165.06,,,,
799,23.80145,90.612383,210,Y,36157.55,0.18287,487.49,19223.09,0.02888,84.52,44.19636,8.59,1693.66,0.06,0.65,169.57,,,,
806,23.78815,90.6448,30,Y,,,,,,,,,,,,,,,,
808,23.788717,90.64465,25,Y,,,,,,,,,,,,,,,,
817,23.786033,90.645233,25,Y,,,,,,,,,,,,,,,,
821,23.78545,90.64475,125,N,,,,,,,,,,,,,,,,
823,23.784917,90.645117,30,Y,,,,,,,,,,,,,,,,
834,23.782617,90.6379,45,Y,33048.42,0.3901,820.46,43741.67,0.35166,33.05,17.20038,15.27,4362.13,0.92,85.26,176.83,0.2216,21.2045,2.1131,0.0291
836,23.78285,90.637617,45,Y,39671.78,0.83596,2303.95,59683.83,1.30932,62.42,15.87443,17.39,4149.6,1.4,103.42,236.31,0.1843,32.0274,6.3088,0.0341
837,23.782833,90.637667,45,Y,35746.08,0.44297,1613.16,63611.18,1.21588,64.64,11.44108,20.16,3236.05,1.55,74.68,221.49,0.1667,28.6918,4.2582,0.022
838,23.78255,90.63785,45,N,,,,,,,,,,,,,,,,
839,23.782267,90.636767,45,Y,36246.1,2.07313,9984.13,115992.91,9.54706,168.51,32.83876,40.34,14744.39,1.83,192.69,569.88,0.1443,74.157,27.5541,0.0453
840,23.782583,90.636917,45,N,35375.32,0.76252,986.78,73584.25,4.26849,82.74,9.87122,22.93,5055.27,1.8,114.4,270.97,0.1608,21.6403,2.5051,0.0164
844,23.783133,90.636717,55,Y,35878.13,0.58115,1129.84,58336.77,1.19278,60.9,13.68125,18.36,3388.88,1.68,87.9,222.33,0.1749,27.3158,2.9318,0.0151
848,23.782317,90.636067,45,Y,40159.8,1.41636,7851.18,83591.39,14.98224,167.53,35.29772,33.74,8175.36,3.68,169.07,390.36,0.1567,78.0232,20.8696,0.0582
849,23.782767,90.636167,90,N,34576.7,1.62249,131.26,47688.11,9.00301,88.4,12.72893,15.05,2800.21,0.87,115.05,193,0.1564,21.8248,0.3452,0.019
852,23.7821,90.63535,45,N,,,,,,,,,,,,,,,,
854,23.782583,90.6353,85,N,30427.26,1.33891,28.02,49752.97,9.991,109.27,14.41265,16.24,3435.04,0.53,165.76,225.24,0.2028,17.6359,0.1544,0.0173
859,23.781867,90.635067,55,Y,28638.63,1.33369,33.04,49555.06,8.78409,136.14,12.83101,14.59,3937.28,1.01,248.26,214.91,0.2308,14.6235,0.1341,0.0163
866,23.7807,90.64195,60,N,,,,,,,,,,,,,,,,
