STATION,NAME,DATE,DASF,MDSF,PRCP,SNOW
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-21,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-22,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-23,,,0.95,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-24,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-26,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-27,,,0.78,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-28,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-29,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-30,,,1.15,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-03-31,,,0.04,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-01,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-02,,,0.43,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-03,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-04,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-05,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-07,,,0.3,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-10,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-13,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-15,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-16,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-17,,,0.04,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-19,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-20,,,0.12,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-21,,,0.08,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-22,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-23,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-24,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-26,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-27,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-28,,,0.05,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-29,,,0.36,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-04-30,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-01,,,0.58,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-02,,,0.7,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-03,,,0.02,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-04,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-05,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-10,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-13,,,0.12,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-15,,,0.15,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-16,,,0.5,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-17,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-19,,,0.87,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-20,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-21,,,0.27,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-22,,,0.19,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-23,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-24,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-26,,,0.4,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-27,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-28,,,0.07,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-29,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-30,,,0.14,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-05-31,,,0.14,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-01,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-02,,,0.08,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-03,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-04,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-05,,,0.08,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-08,,,0.33,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-10,,,0.19,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-11,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-12,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-13,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-14,,,0.93,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-15,,,0.06,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-16,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-17,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-19,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-20,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-21,,,1.53,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-22,,,0.02,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-23,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-24,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-06-25,,,0,0
