Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
475,23.89,91.47,55,Y,38173.48953,1.238197273,3624.439872,90453.41926,8.74624298,156.009654,30.54131442,31.10237437,6294.908008,2.474557631,270.7859739,331.3305706,0.2048,65.4833,9.5707,0.0383
478,23.68,90.14,45,Y,53943.89165,0.229936347,1360.202323,24730.85586,1.159287061,38.31565715,13.69225666,13.91459691,,1.235467372,56.88325695,99.679699,0.0945,13.2254,4.0121,0.0172
481,23.53,90.18,60,Y,,,,,,,,,,,,,,,,
487,24.76,90.01,60,Y,,,,,,,,,,,,,0.2025,27.314,0.1964,0.0394
488,23.77,91.36,45,Y,,,,,,,,,,,,,,,,
493,23.8,90.76,45,Y,,,,,,,,,,,,,,,,
500,23.93,91.63,60,N,,,,,,,,,,,,,,,,
2269,24.67,91.31,135,Y,67174.04615,0.124815413,1431.776061,8845.390026,0.117320277,8.824473538,56.10910545,4.551922659,1060.677925,0.060389684,0.359136271,72.38607063,-0.0102,0.2261,,0.0118
2286,24.27,90.84,45,N,43916.06347,1.915561312,5289.690324,59906.4055,15.24859461,181.4755727,56.38549229,34.69810704,5073.306649,0.800846326,30.65119321,268.4007662,0.1679,97.0292,14.0472,0.0414
2298,23.81,90.63,60,Y,48569.1437,0.565034634,90.93492431,44103.73527,2.649888363,68.59218362,18.73313566,16.50516606,3243.585914,1.875936416,234.8244961,221.8008899,0.1224,28.0304,0.2479,0.1185
2382,24.57,91.55,60,Y,52770.30514,0.495688926,215.6980617,63955.15608,1.640140638,69.2114545,20.4674403,19.60195922,3953.632567,1.86139014,157.8944007,276.8029314,0.2275,47.803,0.5095,0.099
2422,24.62,91.28,40,Y,40382.42571,0.105914961,1520.568032,27164.25335,3.659546934,60.73021792,16.280611,17.32007887,427.3828301,2.280064568,36.37569718,121.4641905,0.113,18.3875,4.3684,0.0146
2424,23.49,90.1,160,Y,,,,,,,,,,,,,0.4539,23.211,0.4629,0.0565
2426,24.12,90.95,45,Y,38252.97007,0.112451044,1239.802778,45294.9244,0.757706921,79.87192389,66.45846954,26.3173547,,1.129614605,34.51449729,126.2241868,0.0733,102.5346,3.3339,0.2433
2432,23.76,89.71,135,Y,,,,,,,,,,,,,,,,
2462,22.97,90.34,30,Y,41607.74526,0.750670834,953.8451774,17835.89948,12.49345368,62.18286453,8.584653122,12.25513293,,1.431431907,87.76462035,89.80654818,0.0739,9.0412,2.847,0.0105
2463,24.53,89.99,45,Y,50611.30503,0.097691756,8090.220344,38351.01776,3.061140604,76.14259528,23.91188052,16.70207479,,1.818353973,21.44300944,128.172215,0.0958,47.2317,24.821,0.0298
2495,23.2,90.29,55,Y,62139.42113,3.459759676,134.0728558,37998.54826,7.047239803,20.94281546,51.37458331,49.4339465,8516.863173,0.123619083,10.83549552,319.5018904,0.158,46.9502,0.1587,0.0994
2497,23.7,91.34,45,Y,,,,,,,,,,,,,,,,
2516,23.41,91.23,30,Y,47138.86611,0.139053982,1252.924978,29433.54983,3.617685884,58.3551132,21.37199694,20.29342303,778.75418,1.139615496,46.22422821,91.12967667,0.1471,29.537,3.459,0.0087
2591,23.08,89.68,60,Y,,,,,,,,,,,,,,,,
2600,24.11,91.09,45,Y,37812.88816,0.043042999,2094.81512,25545.84937,2.16161095,79.6427504,23.0699196,17.62216227,5807.859802,1.26045421,0.902322914,84.86788998,0.0995,33.0875,5.7288,0.0207
2605,24.38,91.42,135,Y,22141.79631,1.467851927,52.35593557,9340.695203,2.244778252,15.10557323,32.29879098,18.56449114,8277.584197,0.047534305,84.21501483,150.0383332,0.3741,18.7185,0.202,0.0225
2627,24.68,91.55,55,Y,61385.36742,5.477615847,5997.166676,32564.15036,3.530908478,35.87811554,55.64818455,46.07655816,10780.85096,0.119394006,29.03671233,294.1778584,0.2755,87.4173,15.8083,0.2444
2673,23.22,91.44,60,N,50905.48797,0.258969628,2492.65408,59938.07489,0.491467718,57.69320572,22.7451587,27.07028277,4373.491585,1.002070262,60.30785232,235.7072043,0.1687,38.8114,6.5803,0.0505
2674,23.67,91.64,45,Y,,,,,,,,,,,,,,,,
2675,24.67,90.06,60,N,,,,,,,,,,,,,,,,
2708,23.39,90.32,60,Y,,,,,,,,,,,,,,,,
2758,23.65,90.16,45,Y,,,,,,,,,,,,,0.0954,20.5994,6.967,
2761,23.76,90.27,25,Y,61565.86903,3.439777801,24.10532662,22374.08414,3.521732185,18.65637135,23.16606933,32.41609935,10337.66101,0.085102279,10.41177313,189.7789201,0.2287,6.0127,0.1365,0.0193
2763,23.14,89.97,50,Y,63283.00328,2.738313708,29.25027844,43003.52304,6.112845693,17.43027116,36.24524145,34.1387627,4219.27287,0.142276836,2.031052105,210.3710275,0.2652,42.9202,0.2117,0.09
2782,24.32,89.81,45,Y,41270.14973,0.305834035,5638.193775,60967.12168,0.64869264,131.2707378,35.96051074,23.3445414,6696.140796,6.271782288,84.84114042,317.8994135,0.1971,47.7089,15.4054,0.0488
2798,24.48,90.34,60,Y,,,,,,,,,,,,,,,,
2798,24.53,90.8,135,Y,28930.69472,0.826785064,1710.058857,16707.31569,5.31545799,76.16582583,78.27197359,21.30706385,3531.972262,0.130136294,10.57176272,208.2748304,0.8631,170.0232,4.3377,0.5398
2805,24.58,90.52,60,Y,,,,,,,,,,,,,0.2877,23.0541,0.1981,0.0281
2812,24.61,90.1,60,Y,50964.17391,0.562377383,7.273143171,24463.97643,3.369394605,42.24228201,10.52722592,9.710963866,,1.905156392,120.4144819,89.66679223,0.1329,9.9047,0.1908,0.014
2813,24.66,90.06,30,Y,,,,,,,,,,,,,,,,
2821,22.94,91.29,60,Y,49255.56053,0.742631297,235.4245271,44393.76229,7.380609081,78.34775879,17.49684714,16.91280616,3419.81801,2.235140445,285.9718839,229.9948607,0.1595,34.8343,,0.0688
2841,22.94,90.42,90,Y,28488.05137,1.129506298,11215.35533,54075.58696,10.32519248,288.2030252,52.00277751,27.25208154,24547.90655,0.967338464,506.7507985,455.6494029,0.137,86.6578,30.3947,0.0785
2850,24.53,90.12,65,Y,41631.89,0.29325,405.04,45447.72,2.99361,69.34,15.29331,19.52,3835.96,1.98,86.47,173.98,0.1906,,0.1583,0.0206
2854,24.43,90.82,105,N,38199.05676,1.802466384,13.96691699,55365.44232,8.547324527,139.0021231,40.11594756,26.18707731,,0.321189687,318.9363385,274.2085243,0.2015,51.7302,0.178,0.0743
2854,24.5,91.07,50,Y,,,,,,,,,,,,,,,,
2855,24.36,90.58,75,Y,,,,,,,,,,,,,,,,
2867,24.64,89.8,60,Y,45481.91578,0.858934297,5519.793468,52918.88657,12.61488265,113.4698977,30.68974243,36.62097492,,1.55481774,33.53459761,191.9002896,0.0769,42.9854,16.3501,0.032
2938,24.34,91.27,165,Y,41712.6968,0.578928919,14.31434935,22764.58204,15.34386297,81.19219739,43.66920343,17.71882004,3343.91299,0.86230315,121.6145922,220.5665637,0.3447,33.153,0.1787,0.0479
2977,23.26,90.89,100,Y,38640.00895,1.274613761,1038.554746,41822.88604,3.174687649,73.12800304,13.42499835,12.57792079,287.8801932,0.695451064,282.519542,186.8974662,0.1794,11.8995,2.8867,0.0165
2985,24.63,90.52,50,Y,,,,,,,,,,,,,0.1724,22.4342,0.2273,0.0151
3002,23.1,90.37,130,Y,,,,,,,,,,,,,,,,
3004,23.17,90.6,30,Y,35493.786,0.121965202,5852.823914,60152.36456,5.41375311,131.5260528,50.86985876,38.27535129,3904.857211,1.242472374,12.65754425,200.3260439,0.0928,119.2035,16.2104,0.2083
